open,high,low,close,volume,datetime
1.14143,1.14228,1.14141,1.14201,1663.0,2022-02-08 19:00:00
1.14201,1.14223,1.14008,1.1422,2643.0,2022-02-08 20:00:00
1.1422,1.14233,1.14109,1.14139,1720.0,2022-02-08 21:00:00
1.14138,1.14201,1.14124,1.14181,1369.0,2022-02-08 22:00:00
1.14181,1.14203,1.14143,1.14143,643.0,2022-02-08 23:00:00
1.14143,1.14196,1.14142,1.14164,776.0,2022-02-09 00:00:00
1.14164,1.14203,1.14142,1.14198,776.0,2022-02-09 01:00:00
1.142,1.14228,1.14114,1.14127,1330.0,2022-02-09 02:00:00
1.14126,1.14224,1.14116,1.14223,1309.0,2022-02-09 03:00:00
1.14223,1.14313,1.1422,1.14312,1397.0,2022-02-09 04:00:00
1.14311,1.14318,1.1427,1.14295,1061.0,2022-02-09 05:00:00
1.14295,1.14309,1.14248,1.14262,709.0,2022-02-09 06:00:00
1.14262,1.14271,1.14212,1.14216,634.0,2022-02-09 07:00:00
1.14216,1.14253,1.14167,1.14171,1068.0,2022-02-09 08:00:00
1.14171,1.14207,1.1402,1.14083,3404.0,2022-02-09 09:00:00
1.14083,1.14271,1.14078,1.14216,4617.0,2022-02-09 10:00:00
1.14216,1.14272,1.14172,1.14259,3481.0,2022-02-09 11:00:00
1.14259,1.14442,1.14227,1.14409,4322.0,2022-02-09 12:00:00
1.14409,1.14409,1.14275,1.14289,2775.0,2022-02-09 13:00:00
1.14289,1.14407,1.14286,1.14368,3553.0,2022-02-09 14:00:00
1.14368,1.14452,1.1429,1.14351,5163.0,2022-02-09 15:00:00
1.14351,1.1437,1.14246,1.1431,5678.0,2022-02-09 16:00:00
1.1431,1.14408,1.14267,1.14276,5526.0,2022-02-09 17:00:00
1.14276,1.14404,1.14256,1.14338,2998.0,2022-02-09 18:00:00
1.14338,1.14473,1.14251,1.14368,5126.0,2022-02-09 19:00:00
1.14368,1.14405,1.14276,1.14318,2649.0,2022-02-09 20:00:00
1.14318,1.14327,1.14264,1.14319,1016.0,2022-02-09 21:00:00
1.14319,1.14329,1.14194,1.14247,1976.0,2022-02-09 22:00:00
1.14247,1.14268,1.14213,1.14238,1080.0,2022-02-09 23:00:00
1.14238,1.14268,1.14193,1.14204,950.0,2022-02-10 00:00:00
1.14204,1.14228,1.14193,1.14204,624.0,2022-02-10 01:00:00
1.14204,1.1422,1.14126,1.14168,1125.0,2022-02-10 02:00:00
1.14168,1.14201,1.14164,1.14188,1098.0,2022-02-10 03:00:00
1.14188,1.14289,1.14171,1.14284,1117.0,2022-02-10 04:00:00
1.14284,1.14296,1.14245,1.14281,1059.0,2022-02-10 05:00:00
1.14281,1.14309,1.14222,1.14245,969.0,2022-02-10 06:00:00
1.14245,1.14262,1.1423,1.14253,581.0,2022-02-10 07:00:00
1.14253,1.14274,1.14198,1.14221,1173.0,2022-02-10 08:00:00
1.14221,1.14281,1.14189,1.14281,2511.0,2022-02-10 09:00:00
1.14281,1.14329,1.14219,1.14325,4353.0,2022-02-10 10:00:00
1.14325,1.14457,1.14319,1.14428,4713.0,2022-02-10 11:00:00
1.14428,1.14449,1.14337,1.14353,3171.0,2022-02-10 12:00:00
1.14353,1.14401,1.14306,1.14315,3406.0,2022-02-10 13:00:00
1.14315,1.14389,1.14293,1.14357,3664.0,2022-02-10 14:00:00
1.14358,1.14409,1.13814,1.14073,18951.0,2022-02-10 15:00:00
1.14073,1.14094,1.13741,1.14067,14815.0,2022-02-10 16:00:00
